epoch,train_rmse,val_rmse,val_rmse_movavg,n_state_resets,C1_mean,C2_mean,R0_mean,R1_mean,R2_mean,gamma1_mean,M0_mean,M_mean,time_s
82,0.014834066118807965,0.019549358761796736,0.020893355762019672,0,37999.99688289916,37999.993136381076,0.03119830731728838,0.052988631929323876,0.040861063643821235,99.88444936422964,-0.44087205944452224,0.8271232112327019,72.84224462509155
83,0.014741878035337396,0.019914493333830528,0.020851164590810274,0,37999.99694231184,37999.99327826426,0.02895809639499141,0.053036682158397776,0.04042175917141489,99.88711090568438,-0.43061747427332964,0.8098948495550513,72.92824292182922
84,0.015328098535424356,0.019443442784028195,0.02007349022896737,0,37999.99688501807,37999.993157915545,0.02554413726059153,0.05013200708870801,0.04536633318202081,99.88378785127833,-0.4504269636689455,0.8310894151317815,72.81536626815796
85,0.01616703197013009,0.02127033672201105,0.02006489196966408,0,37999.99691833131,37999.99317458572,0.023668730819092224,0.05519868318585564,0.053951943152618385,99.87952661885393,-0.45099187954984143,0.8315928801065803,72.87273740768433
86,0.015590166119342259,0.020938055613370306,0.020176541570304428,0,37999.99680422625,37999.992941138335,0.029666554580534115,0.05108373380720398,0.05840230419159771,99.87927863099381,-0.4610826347979616,0.8468661574707532,72.8920304775238
87,0.015286856734634454,0.020456003344902267,0.020158064575023227,0,37999.99691221792,37999.99316061418,0.02738368641910104,0.050579841232312954,0.05430922365355829,99.88094191684819,-0.4469087898262672,0.8259378918371267,72.74897956848145
88,0.01534617021623922,0.02028678609159085,0.020258909892722887,0,37999.99689590566,37999.99315328763,0.027709876013545104,0.06052801634344857,0.04613727346414286,99.87696788087553,-0.4528168052477278,0.8391620920970214,72.70285224914551
89,0.0146562571183808,0.019570347997966742,0.02017860308118708,0,37999.99692594026,37999.99323930898,0.030249158921901054,0.05775302977169297,0.046314327684056376,99.87911860074966,-0.4442432342266185,0.8249000997463649,73.11516237258911
90,0.01448757884660049,0.01897662539496479,0.02010701141033309,0,37999.9969555437,37999.99330324741,0.030338983705588157,0.05507461719089999,0.04168123812845603,99.88172697140388,-0.4365584763006999,0.8138198624354702,72.78741645812988
91,0.016659086648280287,0.02085479619147579,0.02022454926753875,0,37999.99676175767,37999.992973281296,0.031175241876389582,0.06249666025400948,0.06410477766362915,99.87453615801333,-0.4722701984541667,0.8598590602505413,72.75623869895935
92,0.014753206631628508,0.022070223196581727,0.020552896819107942,0,37999.99687949258,37999.993182762104,0.024285425544273594,0.04631203231421411,0.05259416328704058,99.87581784719296,-0.45579917491513033,0.8472382684137101,73.09341955184937
93,0.016242006041662635,0.0227107401869628,0.020732947252226908,0,37999.996779878486,37999.9929932966,0.02575752236857838,0.057659052903591586,0.04861914723312181,99.87733586002787,-0.4568441392883422,0.8557384276339415,72.91891527175903
94,0.01547489861111872,0.022791328238490716,0.02096460633036696,0,37999.99683398056,37999.992998087386,0.027878714450198912,0.05242601369682965,0.052796390445874274,99.87655896704258,-0.45927241493269394,0.8459783869852532,72.81885004043579
95,0.015449579922044236,0.021370679959743788,0.02107894090722215,0,37999.996837976505,37999.99302739942,0.030541223363307606,0.06407564399655369,0.049719830658573,99.87974070368732,-0.4498015930205883,0.840053234928511,73.21443676948547
96,0.015195821115353465,0.02249918806558003,0.0213554911539708,0,37999.99689085413,37999.99316575956,0.028233038719711803,0.06011889209365972,0.05628338995631046,99.88380531481099,-0.4404848089549484,0.8228667196324733,72.63883113861084
97,0.014747595290015347,0.02184763441422596,0.0216401519560032,0,37999.99695508902,37999.99330356953,0.026403049247684794,0.05654299310316982,0.054450996559077675,99.88036384528995,-0.43837324193830063,0.8059020029913361,72.80324935913086
